contrast,contexts,mean,mean_ci95_low,mean_ci95_high,median,preregistered_median_state,rpe1_mean,hepg2_mean_underpowered,jurkat_mean
VCDesign-CED - BASE,RPE1 and Jurkat powered pool,0.0171,0.0083,0.0258,0,NULL,0.026,0.022,0.012
Measured-response oracle - BASE,RPE1 and Jurkat powered pool,0.208,0.186,0.232,,not_primary,,,
