query,view,goal_blind_mbu,forward_match_mbu,base_mbu,text_mbu,vcdesign_ced_mbu,ced_minus_base,ced_minus_text,base_hvhit_10,base_hvhit_20,base_hvhit_50,text_hvhit_10,text_hvhit_20,text_hvhit_50,vcdesign_ced_hvhit_10,vcdesign_ced_hvhit_20,vcdesign_ced_hvhit_50,owning_section
RPL36,1,0.34251125365340146,0.5592966550139885,0.6127020700206584,0.5653875272499016,0.6633311882714459,0.05062911825078753,0.09794366102154428,10.0,17.0,19.0,9.0,15.0,16.0,10.0,17.0,27.0,sec:heldout
GALK1,1,-0.5325990197384035,0.19680874944470997,-0.19464012733858538,-0.17125026806065777,-0.05684387475846919,0.13779625258011619,0.11440639330218857,0.0,0.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,sec:heldout
CCT3,1,0.3087569885033415,-0.1394447302748569,0.33157213460003193,0.38761471427484806,0.4190482588714388,0.08747612427140689,0.03143354459659076,3.0,5.0,7.0,4.0,5.0,7.0,5.0,6.0,11.0,sec:heldout
NFRKB,1,0.08177575923868492,0.35929712377118,0.0954447517051915,0.08775457788402148,0.30483329507868556,0.20938854337349405,0.2170787171946641,2.0,4.0,8.0,3.0,4.0,6.0,3.0,5.0,11.0,sec:heldout
THAP1,1,0.0430854927676969,0.15788488936776437,0.4032226138994459,0.5035178738938596,0.37821194048218154,-0.025010673417264373,-0.12530593341167806,4.0,5.0,12.0,6.0,9.0,12.0,5.0,8.0,11.0,sec:heldout
THAP11,1,-0.2850833259609266,-0.01591936602357141,-0.03577281598979711,0.1892812185196943,0.004172409993848029,0.03994522598364514,-0.18510880852584627,1.0,3.0,6.0,5.0,7.0,11.0,1.0,2.0,8.0,sec:heldout
CHCHD2,1,-0.1620452670766477,0.05676849443429426,0.03741630206768282,0.04983170645053813,-0.0030558518690193743,-0.0404721539367022,-0.05288755831955751,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,sec:heldout
UGGT1,1,0.17385019984363462,0.14326482477432215,0.22215425481019527,0.13860651344533897,0.23746510408594665,0.015310849275751381,0.09885859064060767,1.0,3.0,5.0,1.0,2.0,5.0,2.0,2.0,5.0,sec:heldout
UTP23,1,0.26552293499315344,0.7214308012303423,0.6482260058965127,0.6276912987402494,0.7411218766004269,0.09289587070391425,0.11343057786017752,10.0,14.0,15.0,9.0,13.0,14.0,10.0,18.0,23.0,sec:heldout
TFAM,1,0.07762635364867722,-0.0093336464060785,0.21182891411787397,0.1355421742325771,0.18887646288543347,-0.022952451232440496,0.05333428865285636,4.0,7.0,13.0,4.0,6.0,9.0,4.0,8.0,14.0,sec:heldout
MGST3,1,-0.4409117317779821,0.15280599455372035,-0.20686562903760444,0.19290883951625445,0.08031859957776083,0.2871842286153653,-0.11259023993849362,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,sec:heldout
RPL6,1,0.3517031944606796,0.42890385404823234,0.5432960299842277,0.5213020030040615,0.6063557030994381,0.06305967311521044,0.0850537000953766,9.0,12.0,13.0,8.0,11.0,12.0,9.0,13.0,23.0,sec:heldout
SUPV3L1,1,0.1430127180513804,0.537842423433429,0.5867350516528002,0.6506248454811536,0.6251808416335322,0.038445789980732004,-0.025444003847621466,8.0,15.0,22.0,9.0,15.0,19.0,7.0,16.0,28.0,sec:heldout
CSNK2B,1,0.24907822790992862,0.05426978730709719,0.4049665672416754,0.486647325091862,0.4494043016654983,0.04443773442382287,-0.03724302342636371,4.0,6.0,8.0,5.0,8.0,11.0,3.0,5.0,14.0,sec:heldout
PCM1,1,0.11322193908805185,0.21872217922913595,0.4284889223549895,0.43441766716951635,0.43322131089171084,0.004732388536721366,-0.0011963562778055103,4.0,7.0,15.0,5.0,8.0,13.0,4.0,8.0,15.0,sec:heldout
DIAPH1,1,-0.16373746640615458,-0.07362568006251574,0.1828728642496238,-0.020839364157894363,0.11877576500851335,-0.06409709924111044,0.13961512916640773,0.0,3.0,6.0,0.0,1.0,6.0,2.0,3.0,6.0,sec:heldout
EDEM2,1,-0.2737175190761525,0.0675986405590804,-0.16868321766098518,-0.1460130577827155,-0.11231551507494064,0.05636770258604454,0.033697542707774863,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,sec:heldout
DHODH,1,0.4220036047553812,0.36841883584246093,0.5465146164387621,0.5345145205395874,0.610812217439474,0.06429760100071191,0.07629769689988664,7.0,12.0,14.0,6.0,13.0,17.0,7.0,13.0,24.0,sec:heldout
INO80D,1,0.14749936759296733,0.08475714906095476,0.2899986785171624,0.25761260791325463,0.2986200785503644,0.008621400033201998,0.041007470637109744,3.0,4.0,6.0,3.0,4.0,5.0,2.0,4.0,7.0,sec:heldout
SMARCA5,1,0.24717224878748537,0.1078489038309383,0.5138660959321275,0.514251109607625,0.5282735558576374,0.014407459925509847,0.014022446250012366,7.0,9.0,12.0,5.0,8.0,13.0,7.0,8.0,15.0,sec:heldout
SNRPD3,1,0.27974304347620627,0.2706244585640763,0.4616200076348313,0.4143494174421652,0.4750205340924601,0.013400526457628792,0.0606711166502949,6.0,8.0,10.0,5.0,7.0,9.0,5.0,10.0,14.0,sec:heldout
RHBDD1,1,-0.4542069946338642,0.07505792460367751,-0.018225422131285,0.059683054970281396,0.07427872251975896,0.09250414465104397,0.014595667549477567,0.0,2.0,5.0,0.0,2.0,4.0,0.0,2.0,3.0,sec:heldout
SORT1,1,0.2649759320376009,0.2522690376661097,0.3043594384942297,0.4477273549859828,0.35159542045386827,0.04723598195963857,-0.09613193453211455,5.0,6.0,8.0,6.0,9.0,11.0,3.0,9.0,15.0,sec:heldout
RIF1,1,0.11599673785645725,0.22915274517016582,0.37794203363254364,0.42631698950483704,0.41569340965537394,0.037751376022830296,-0.010623579849463105,6.0,9.0,12.0,7.0,12.0,15.0,7.0,9.0,18.0,sec:heldout
LYRM4,1,-0.4296298488745423,0.03444596184096237,-0.06810766989465032,-0.13693078177396842,0.020907593391015018,0.08901526328566534,0.15783837516498345,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,sec:heldout
OTUD7B,1,0.16167033180348897,-0.04094574463674914,0.23721490899570433,0.30775443124006513,0.2347403247319093,-0.0024745842637950155,-0.07301410650815582,1.0,4.0,9.0,3.0,4.0,6.0,2.0,4.0,7.0,sec:heldout
HINT1,1,-0.3628018484355779,-0.07428112620398492,-0.31312680178497243,-0.31054185527937217,-0.26517507113702543,0.047951730647947,0.04536678414234674,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,sec:heldout
DFFA,1,0.2345825650099016,0.6546446467857611,0.6060468936376446,0.5664670688646581,0.7224868837171866,0.11643999007954198,0.15601981485252847,8.0,15.0,16.0,8.0,13.0,14.0,9.0,17.0,25.0,sec:heldout
ABHD13,1,-0.550732444376107,0.026750288702162034,-0.21277574270675217,-0.0053954243282307345,-0.2641934539024066,-0.05141771119565444,-0.25879802957417586,0.0,3.0,7.0,0.0,1.0,7.0,0.0,0.0,2.0,sec:heldout
TEAD2,1,-0.445139547321749,0.26899052010691576,-0.10659107350743384,-0.22895208966995262,0.06156469333743142,0.16815576684486527,0.29051678300738404,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,sec:heldout
TMEM126B,1,0.038126407619149275,0.4539253505188916,0.621878245107124,0.6043668950971631,0.6380762594649269,0.01619801435780288,0.03370936436776373,8.0,11.0,22.0,7.0,14.0,25.0,8.0,14.0,20.0,sec:heldout
SMN2,1,0.3407642647350521,0.2849567155666786,0.4942354524929913,0.42524334915517176,0.5057362835232615,0.01150083103027022,0.08049293436808974,5.0,10.0,13.0,5.0,6.0,8.0,6.0,9.0,14.0,sec:heldout
RAE1,1,0.4343628293404656,0.17008503036007475,0.48674860563437466,0.43708711660024496,0.5146272536406796,0.027878648006304962,0.07754013704043466,6.0,10.0,11.0,6.0,10.0,11.0,5.0,9.0,15.0,sec:heldout
RAI14,1,0.2980021781613287,0.0739609132365849,0.5353484848902575,0.3890057927143018,0.5660435017339362,0.030695016843678702,0.17703770901963445,6.0,12.0,20.0,5.0,8.0,18.0,7.0,12.0,21.0,sec:heldout
ORC4,1,0.20787111626526347,0.647245764625235,0.6443757125383557,0.6511021978020479,0.6698782816630278,0.02550256912467208,0.018776083860979842,7.0,9.0,15.0,7.0,13.0,15.0,7.0,10.0,16.0,sec:heldout
EIF2S1,1,0.37983663763352177,0.4244365083206154,0.4601522314159792,0.559105307553854,0.5359757855303067,0.07582355411432745,-0.023129522023547344,5.0,6.0,9.0,6.0,7.0,9.0,5.0,9.0,17.0,sec:heldout
SNRNP48,1,0.331319012176635,0.06734286787537182,0.3486389321366379,0.39116532437475926,0.3680728672293842,0.019433935092746324,-0.023092457145375056,5.0,6.0,8.0,5.0,8.0,11.0,5.0,6.0,10.0,sec:heldout
SEC61B,1,0.29296557775387955,-0.007045794697376179,0.3291067134673013,0.40495082588412384,0.3099589289267341,-0.019147784540567203,-0.09499189695738974,3.0,5.0,8.0,5.0,7.0,11.0,3.0,7.0,10.0,sec:heldout
PIH1D1,1,-0.07193414550537051,0.3472638398994115,0.09524571348796902,0.2740476104688428,0.21509235270298344,0.11984663921501441,-0.05895525776585936,1.0,3.0,7.0,4.0,5.0,9.0,3.0,5.0,11.0,sec:heldout
POLRMT,1,0.19472822616183202,0.29716967875452815,0.3511933542474229,0.3446730628677928,0.40688586857147246,0.05569251432404959,0.06221280570367965,5.0,10.0,19.0,6.0,10.0,13.0,6.0,12.0,17.0,sec:heldout
RNF44,1,-0.310209498365332,0.09461715572962921,0.12356651457476107,0.09722479630353921,0.11459646202705916,-0.008970052547701918,0.017371665723519947,1.0,2.0,4.0,2.0,2.0,3.0,0.0,1.0,4.0,sec:heldout
CCDC71L,1,-0.531950352005852,0.185733410630615,-0.07073956928153556,-0.11452403675127876,-0.06647766218100681,0.004261907100528747,0.048046374570271944,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,sec:heldout
TTI1,1,0.31410907861163734,0.04516712177184063,0.395068897097733,0.48673467973757556,0.45174810531561455,0.05667920821788153,-0.034986574421961014,5.0,6.0,9.0,6.0,9.0,13.0,5.0,8.0,10.0,sec:heldout
BCCIP,1,0.4306617994277871,0.5589524020987372,0.6713388609891285,0.5695166142019588,0.7008002869385911,0.02946142594946255,0.13128367273663233,9.0,15.0,19.0,8.0,12.0,15.0,9.0,14.0,26.0,sec:heldout
WRAP53,1,-0.23659746132122628,0.17001607239263009,0.21053235715091548,0.2952215096074757,0.3044832868728575,0.093950929721942,0.009261777265381799,2.0,3.0,9.0,2.0,5.0,5.0,3.0,5.0,8.0,sec:heldout
PRPF40A,1,0.29188773940915785,0.057199700575842095,0.42230508666056416,0.44172870617544563,0.5158215936359004,0.09351650697533626,0.07409288746045478,3.0,5.0,7.0,6.0,7.0,8.0,5.0,7.0,13.0,sec:heldout
NOL8,1,0.3578361062185113,0.5480647469466143,0.6295742876038847,0.6073356041890834,0.6676058530997738,0.03803156549588915,0.06027024891069044,9.0,14.0,18.0,9.0,14.0,17.0,9.0,15.0,25.0,sec:heldout
ENDOG,1,-0.3373281555904882,0.12876425598465235,-0.23322683433154656,0.0682442029682109,-0.07941117673123382,0.15381565760031274,-0.14765537969944473,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,sec:heldout
CRIPT,1,-0.5234647499512902,0.13555547677338328,-0.0056885292596930695,0.042006993130208704,0.004489269234469753,0.010177798494162824,-0.03751772389573895,2.0,3.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,sec:heldout
ING5,1,-0.4748780730664878,0.12653082613949435,0.10543368611084898,0.06466731555852254,0.13595343080028952,0.030519744689440534,0.07128611524176698,2.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,3.0,sec:heldout
ZDHHC7,1,0.4310175840509607,0.14525899287702068,0.42617438129666185,0.4137155382851992,0.44775073796823706,0.021576356671575203,0.034035199683037864,4.0,5.0,7.0,5.0,6.0,8.0,4.0,6.0,7.0,sec:heldout
TRIP4,1,-0.11739414993206883,0.12821179755697587,0.34452630024026015,0.27832587201815856,0.27331924878901837,-0.07120705145124179,-0.005006623229140195,4.0,6.0,8.0,2.0,3.0,5.0,2.0,2.0,7.0,sec:heldout
CNBP,1,0.06870408405026313,0.272669278037979,0.39434997356137114,0.3546424605309224,0.45689552263923777,0.06254554907786664,0.10225306210831536,5.0,6.0,10.0,4.0,6.0,8.0,4.0,7.0,13.0,sec:heldout
ITGB1BP1,1,0.22267313791828838,0.3360269284533457,0.46754227798348436,0.47671154834433965,0.5381358073196515,0.07059352933616714,0.06142425897531184,6.0,8.0,13.0,8.0,11.0,14.0,6.0,9.0,17.0,sec:heldout
ELP1,1,-0.18758150087696113,0.013293733642051284,0.2212927457909878,0.31873937311497585,0.23992472040632215,0.018631974615334362,-0.0788146527086537,2.0,6.0,10.0,4.0,6.0,11.0,3.0,6.0,7.0,sec:heldout
SRSF6,1,-0.16511632974242793,0.0029618030131482744,0.04698756751523742,0.07311207924256485,-0.03972402290460384,-0.08671159041984126,-0.11283610214716869,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,sec:heldout
MRPL52,1,0.027145219950326177,0.605146549081173,0.6788397306611348,0.6653961484858756,0.7137357999771684,0.03489606931603362,0.04833965149129282,9.0,12.0,17.0,8.0,13.0,17.0,9.0,12.0,21.0,sec:heldout
TOR1B,1,0.2751423462536778,0.2259610949214257,0.4368363062581501,0.48204274728026714,0.49831010166575523,0.061473795407605114,0.016267354385488098,5.0,6.0,8.0,5.0,7.0,9.0,5.0,8.0,11.0,sec:heldout
DLD,1,0.42036379641713006,0.08680494207071111,0.4452649183036355,0.4863917660445547,0.4379194775238993,-0.007345440779736201,-0.04847228852065538,5.0,10.0,13.0,5.0,12.0,13.0,3.0,8.0,17.0,sec:heldout
NUB1,1,0.19699791455637647,-0.003267701485411235,0.06807083904357095,0.1650258662397788,0.05741167328557075,-0.010659165758000196,-0.10761419295420804,3.0,4.0,8.0,5.0,6.0,10.0,3.0,6.0,9.0,sec:heldout
TTC1,1,0.2667319498582696,0.3348780090357994,0.5388746930558641,0.6329191468936309,0.600683109588717,0.06180841653285285,-0.03223603730491398,6.0,11.0,16.0,8.0,10.0,14.0,7.0,11.0,24.0,sec:heldout
TENT4A,1,-0.24296155303517186,0.023865765175149403,0.1685127625805319,0.20201339122273157,0.17773204395331324,0.00921928137278133,-0.02428134726941833,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,4.0,sec:heldout
UBE2V1,1,-0.4327333716913304,-0.11322408848648556,-0.44525743990938443,-0.2599227489645697,-0.4484315059317548,-0.0031740660223703587,-0.1885087569671851,1.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0,4.0,sec:heldout
WDR36,1,0.16637315931917104,0.7333642157277204,0.626378227092126,0.5539919308233096,0.7130059367167721,0.08662770962464617,0.1590140058934626,10.0,17.0,18.0,9.0,14.0,15.0,10.0,19.0,26.0,sec:heldout
CD3EAP,1,0.31682164222279013,0.5846067559872693,0.6553490855057996,0.5947692663423664,0.716334125846283,0.060985040340483354,0.1215648595039166,10.0,15.0,17.0,9.0,14.0,14.0,9.0,16.0,27.0,sec:heldout
XPO1,1,0.4324988762496454,-0.021472515417203585,0.3948004004618671,0.45280665446956586,0.42080068837070767,0.02600028790884057,-0.032005966098858196,4.0,6.0,7.0,5.0,7.0,9.0,5.0,5.0,11.0,sec:heldout
TWNK,1,0.14308017284422558,0.46469822831542235,0.5938639356224581,0.6024356307746875,0.6207884153480195,0.026924479725561445,0.018352784573332004,8.0,12.0,19.0,8.0,14.0,19.0,7.0,13.0,23.0,sec:heldout
ZMYM4,1,0.23072589677162866,0.3933684738570511,0.6488828566877508,0.6115309108376668,0.7191222983425646,0.07023944165481377,0.10759138750489783,10.0,14.0,15.0,9.0,13.0,14.0,10.0,16.0,22.0,sec:heldout
CCNK,1,0.10047592183438747,0.08218073301347063,0.40440349808894,0.4950449900299169,0.507951197413315,0.10354769932437496,0.012906207383398038,7.0,9.0,19.0,6.0,11.0,15.0,8.0,12.0,19.0,sec:heldout
NOSIP,1,-0.3109089051995424,0.0807495438711952,-0.20066128650644596,-0.15995400607208882,-0.13730037633060668,0.06336091017583928,0.022653629741482134,1.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,sec:heldout
NOB1,1,0.1726372159674343,0.6293616898282873,0.6519917836989818,0.5531711775030254,0.7520382561108825,0.10004647241190068,0.19886707860785713,10.0,15.0,17.0,8.0,12.0,13.0,10.0,18.0,23.0,sec:heldout
PRDX1,1,0.20795792913274758,0.06753644382785128,0.2849110673942897,0.17516273221984965,0.19127801220220012,-0.09363305519208956,0.01611527998235046,3.0,7.0,13.0,1.0,5.0,9.0,3.0,6.0,10.0,sec:heldout
HADHB,1,0.3434986954094657,0.066859648488677,0.3227079844273191,0.35344916252454456,0.40228324078578565,0.07957525635846657,0.04883407826124109,4.0,5.0,7.0,4.0,4.0,6.0,5.0,7.0,8.0,sec:heldout
BAG6,1,-0.06650150363338357,0.038728837062418274,0.14831761588682071,0.1486553037237135,0.17720585754732446,0.028888241660503744,0.028550553823610963,3.0,4.0,6.0,3.0,4.0,5.0,3.0,4.0,8.0,sec:heldout
PSMB1,1,0.16588311062423614,0.22731081385605992,0.41165241757234855,0.3747237449722667,0.4170510454492787,0.005398627876930129,0.042327300477012,4.0,5.0,12.0,3.0,6.0,8.0,3.0,5.0,14.0,sec:heldout
FBLIM1,1,-0.4160638021401825,-0.23416136842177693,-0.5025855044683372,-0.4373895533180936,-0.5147356287664836,-0.012150124298146436,-0.07734607544839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sec:heldout
ELP4,1,0.18564276914494005,0.2635251644838706,0.5446158718517919,0.6024723806593021,0.6003140223699096,0.05569815051811766,-0.0021583582893924813,7.0,11.0,15.0,8.0,11.0,16.0,8.0,11.0,18.0,sec:heldout
PDLIM4,1,0.09985027033229958,0.6115709290254657,0.6442243573516259,0.6258897070801274,0.6527423581966022,0.008518000844976337,0.026852651116474835,8.0,10.0,16.0,7.0,13.0,16.0,8.0,11.0,18.0,sec:heldout
SNRPD1,1,0.24704228938386472,0.1989994493428026,0.4462816357680637,0.3575275945687228,0.4347111319848937,-0.011570503783169983,0.0771835374161709,5.0,7.0,13.0,4.0,6.0,8.0,5.0,6.0,15.0,sec:heldout
AKIRIN1,1,0.16720306742028432,0.3047883252085582,0.4092002058170104,0.4704878875884366,0.4684583913986968,0.05925818558168644,-0.002029496189739799,6.0,10.0,13.0,6.0,9.0,14.0,6.0,10.0,15.0,sec:heldout
RFC2,1,0.30010135621730577,0.4581016486941783,0.5424898323587127,0.6048868735055221,0.5855309185823,0.043041086223587266,-0.019355954923222063,7.0,8.0,12.0,7.0,11.0,14.0,7.0,9.0,15.0,sec:heldout
ZNF491,1,-0.20101291701481772,-0.010082528207139903,-0.1951874463196812,-0.07791580853718148,-0.05765325031155485,0.13753419600812636,0.020262558225626635,0.0,0.0,2.0,0.0,2.0,6.0,0.0,1.0,1.0,sec:heldout
ISOC2,1,0.30160974809966906,0.09150424829162114,0.31932612537080757,0.27278249895474044,0.32773083292496985,0.008404707554162283,0.05494833397022941,3.0,4.0,5.0,4.0,4.0,6.0,3.0,3.0,4.0,sec:heldout
TOR3A,1,-0.2759361386320683,0.06713437695322312,0.10871786183055683,0.009937848729237274,0.014071557164508057,-0.09464630466604877,0.004133708435270783,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,sec:heldout
TBL3,1,0.3049462956389853,0.7388563447069281,0.6998429186476204,0.6529573447539091,0.7510069047720404,0.05116398612441997,0.09804956001813125,10.0,17.0,18.0,10.0,14.0,15.0,10.0,18.0,25.0,sec:heldout
MCM4,1,0.2488690795152364,0.5435620652023949,0.49786958079522314,0.5690359129111462,0.5537126991188561,0.05584311832363298,-0.015323213792290069,8.0,12.0,15.0,7.0,12.0,16.0,9.0,11.0,15.0,sec:heldout
PPIH,1,0.32819010919887587,0.1169214593067807,0.610422744968134,0.6772001105211145,0.626677713318092,0.016254968349957988,-0.05052239720302254,8.0,13.0,17.0,10.0,14.0,19.0,7.0,13.0,21.0,sec:heldout
YWHAB,1,-0.28406182661588586,-0.01675692384579844,-0.6388905695396823,-0.5921294050239031,-0.5488562190220185,0.09003435051766373,0.04327318600188457,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,sec:heldout
CALR,1,0.07146118109922493,0.3380770614522919,0.5712760270511003,0.5061069369047138,0.5725869412977654,0.0013109142466651846,0.06648000439305168,8.0,12.0,18.0,7.0,11.0,15.0,9.0,11.0,18.0,sec:heldout
NF1,1,-0.16234818462943737,0.04000883274998008,0.24516027283416023,0.2112450387283348,0.24987841160455151,0.004718138770391289,0.03863337287621671,3.0,3.0,7.0,2.0,3.0,6.0,4.0,7.0,7.0,sec:heldout
DLX2,1,0.18840685300473548,0.09003815751590645,0.3593651128962037,0.3392049839311257,0.30657082685770926,-0.05279428603849445,-0.03263415707341644,4.0,6.0,11.0,4.0,6.0,8.0,4.0,5.0,9.0,sec:heldout
GLRX2,1,-0.24734040927529913,0.08218580533809515,-0.1319061442480885,-0.16404589495244903,-0.08503825805327675,0.04686788619481175,0.07900763689917228,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,sec:heldout
NCOA6,1,-0.07141103906567146,0.25450948969015325,0.30068054056462973,0.30490790902147086,0.38190513241597746,0.08122459185134773,0.0769972233945066,2.0,3.0,9.0,1.0,2.0,8.0,4.0,5.0,10.0,sec:heldout
VPS8,1,-0.2559534175922244,0.12997225346848792,-0.44183633409804113,-0.4845462101329885,-0.3993633450007669,0.042472989097274205,0.08518286513222156,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,sec:heldout
MRPL19,1,0.14723662426843895,0.521064485398912,0.601849914896983,0.5954367341606139,0.6445365347670332,0.04268661987005018,0.049099800606419275,9.0,12.0,18.0,8.0,14.0,18.0,9.0,14.0,23.0,sec:heldout
GP1BB,1,-0.21243428050655608,0.05474938444860387,-0.15964811507815346,0.06481039358837228,-0.09275650130405551,0.06689161377409795,-0.15756689489242778,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,sec:heldout
C9orf16,1,0.3107590032370248,0.1366849137272127,0.3965546752740452,0.4195854214901051,0.4125947117624246,0.016040036488379428,-0.006990709727680455,5.0,7.0,8.0,6.0,6.0,7.0,4.0,7.0,11.0,sec:heldout
RINT1,1,0.2268563050833032,0.15295061262784135,0.457374622503536,0.514073803966419,0.4854182189708161,0.028043596467280107,-0.02865558499560289,3.0,7.0,14.0,5.0,9.0,16.0,3.0,7.0,17.0,sec:heldout
MRPL32,1,0.1366552075696668,0.5728631439889358,0.68792151225294,0.6748611770046554,0.7150432827110541,0.027121770458114147,0.040182105706398685,9.0,12.0,18.0,8.0,15.0,18.0,9.0,14.0,21.0,sec:heldout
POGK,1,0.149960342614267,-0.029610886118808227,0.19492360904495196,0.023257880858598822,0.09233853842003083,-0.10258507062492113,0.069080657561432,0.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,sec:heldout
ZNF335,1,0.20241104868834156,0.24753217124689794,0.2406015127717992,0.26197072116131753,0.31827917130389505,0.07767765853209585,0.056308450142577515,2.0,3.0,6.0,3.0,4.0,7.0,2.0,4.0,12.0,sec:heldout
PPP1R2,1,0.1402636472083954,0.37362065441888664,0.18364276954079986,0.3092718302743647,0.2239759273548947,0.04033315781409483,-0.08529590291947003,0.0,3.0,7.0,2.0,4.0,11.0,0.0,3.0,14.0,sec:heldout
RFX6,1,-0.21031536223579958,0.07054051711551342,-0.04692783465625786,0.06999923583847449,0.08834641883655751,0.13527425349281538,0.018347182998083023,0.0,3.0,5.0,0.0,1.0,3.0,0.0,0.0,2.0,sec:heldout
MAN1A2,1,0.2923068949247632,0.09618728640099816,0.4765856762055063,0.3978827506290856,0.4674220842228444,-0.009163591982661867,0.0695393335937588,7.0,10.0,17.0,5.0,9.0,16.0,7.0,10.0,16.0,sec:heldout
DDX3X,1,0.39822393676599527,0.26348313037355614,0.17934879802666093,0.4020545369006334,0.24674412634494172,0.0673953283182808,-0.1553104105556917,2.0,3.0,5.0,4.0,8.0,12.0,2.0,6.0,10.0,sec:heldout
POLR1A,1,0.33479158582034096,0.5558766151514375,0.576028518107594,0.47300384356915864,0.6111825129088252,0.03515399480123116,0.13817866933966655,10.0,15.0,16.0,8.0,13.0,14.0,9.0,15.0,25.0,sec:heldout
ABCC1,1,0.16769756739917593,-0.032654813902845435,0.19186794846578262,0.14087091688465378,0.2239217588492062,0.03205381038342359,0.08305084196455242,3.0,6.0,10.0,3.0,5.0,8.0,2.0,3.0,7.0,sec:heldout
POLR2M,1,0.2599564293187377,0.23587253170341452,0.31207454501688264,0.3271423940358278,0.35771152754152147,0.045636982524638825,0.03056913350569368,5.0,7.0,8.0,4.0,6.0,7.0,5.0,8.0,15.0,sec:heldout
CHMP1A,1,0.11540600390418865,0.1561768281264726,0.22320230166478502,0.31647132403936,0.342742856923621,0.11954055525883597,0.026271532884260984,2.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,9.0,sec:heldout
PEX1,1,0.2936455804618441,0.059464243842595,0.4369045321131007,0.49023100421528665,0.46711380950163545,0.03020927738853474,-0.0231171947136512,4.0,4.0,7.0,6.0,7.0,10.0,4.0,6.0,11.0,sec:heldout
EIF3F,1,0.3363608306389168,0.237698752388774,0.3931128921446209,0.5251604554086575,0.4479763971585849,0.054863505013963976,-0.07718405825007263,2.0,4.0,7.0,5.0,7.0,12.0,3.0,5.0,9.0,sec:heldout
COPS2,1,0.30237743902226427,0.18707572140888243,0.433412674752097,0.5015265337539168,0.46957714232297326,0.03616446757087627,-0.0319493914309435,4.0,9.0,13.0,5.0,9.0,11.0,4.0,7.0,14.0,sec:heldout
BZW1,1,-0.44408522921480936,-0.036474641163172526,-0.17903436072468173,-0.02409143580156103,-0.18254260592183713,-0.0035082451971553963,-0.1584511701202761,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,sec:heldout
EXOC5,1,0.18009489251858324,-0.004577567345058271,0.09764919795055793,0.37686492452074694,0.10323099255656622,0.005581794606008286,-0.27363393196418073,3.0,4.0,6.0,3.0,6.0,11.0,3.0,3.0,8.0,sec:heldout
ALKBH4,1,-0.30182428900263064,0.20851282419482278,0.021444626017958754,0.008771498959504267,0.14036660468609924,0.11892197866814049,0.13159510572659497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,sec:heldout
RAB10,1,-0.509655592850841,-0.019479524262323463,-0.39168692623991724,0.15563287294442021,-0.3304829404929979,0.06120398574691932,-0.48611581343741816,0.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,sec:heldout
HCFC1,1,0.19687264136445573,0.08181386463187308,0.19672529929849003,0.3505111775609368,0.23442306766510623,0.0376977683666162,-0.11608810989583057,1.0,3.0,5.0,5.0,7.0,9.0,3.0,4.0,11.0,sec:heldout
RPRD1B,1,0.28022995953684277,0.033988293734960075,0.2479816684666766,0.3285947913074686,0.2776821940023992,0.029700525535722583,-0.05091259730506942,3.0,4.0,9.0,3.0,6.0,9.0,4.0,5.0,10.0,sec:heldout
MAX,1,0.25648766359508063,0.3400244779285549,0.39198684096580555,0.5112596646414577,0.48118040479928065,0.0891935638334751,-0.03007925984217702,5.0,7.0,9.0,6.0,12.0,13.0,5.0,9.0,12.0,sec:heldout
COX15,1,0.3198732526680819,0.03834038602073692,0.5651530322497218,0.5643181423439733,0.5884509338724143,0.02329790162269252,0.024132791528441055,5.0,9.0,12.0,5.0,7.0,10.0,5.0,9.0,16.0,sec:heldout
