query,view,goal_blind_mbu,forward_match_mbu,base_mbu,text_mbu,vcdesign_ced_mbu,ced_minus_base,ced_minus_text,base_hvhit_10,base_hvhit_20,base_hvhit_50,text_hvhit_10,text_hvhit_20,text_hvhit_50,vcdesign_ced_hvhit_10,vcdesign_ced_hvhit_20,vcdesign_ced_hvhit_50,owning_section
MAD2L1,1,0.2995897124208897,0.060698456406398336,0.46992437475780263,0.5208669118287866,0.4922985983923646,0.022374223634561985,-0.02856831343642202,5.0,7.0,10.0,5.0,7.0,9.0,5.0,9.0,18.0,sec:heldout
CDV3,1,-0.08168013738248375,-0.010958295214374468,-0.04240599806954982,0.11920278028718088,-0.04311310059699955,-0.0007071025274497308,-0.16231588088418042,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,sec:heldout
MCMBP,1,0.3867547142578395,0.05717864116314886,0.48396773544326166,0.43645133352330784,0.5130973504287014,0.029129614985439756,0.07664601690539358,7.0,10.0,14.0,6.0,9.0,14.0,7.0,10.0,22.0,sec:heldout
ACTR8,1,0.17698300472197406,0.4353926591681782,0.30840878619931983,0.16601752073060308,0.6286092386903556,0.32020045249103574,0.4625917179597525,6.0,10.0,13.0,4.0,5.0,5.0,8.0,10.0,13.0,sec:heldout
IPO11,1,-0.037470083759935456,-0.10627146648666158,-0.022356622420458928,-0.023653964701783003,-0.017001754904713978,0.0053548675157449495,0.006652209797069025,2.0,5.0,7.0,2.0,2.0,5.0,0.0,0.0,4.0,sec:heldout
NUP133,1,0.26817141020389396,0.18432342277194427,0.38852700057205664,0.4239185983062767,0.4630911483241948,0.07456414775213815,0.039172550017918084,5.0,7.0,9.0,6.0,8.0,11.0,6.0,8.0,13.0,sec:heldout
RBM12,1,0.11941078616198104,0.3300629243769751,0.41975099847656755,0.5424859699153323,0.5214989203940562,0.10174792191748866,-0.020987049521276058,5.0,7.0,12.0,5.0,11.0,15.0,6.0,8.0,14.0,sec:heldout
OXCT1,1,0.15432027806067306,-0.0242277166319417,0.04186625789678708,0.3984405337962528,0.17030660721045385,0.12844034931366677,-0.22813392658579898,0.0,4.0,8.0,6.0,8.0,11.0,3.0,5.0,8.0,sec:heldout
CD2BP2,1,-0.39853824515037467,0.020081417987516018,0.18002318264967246,0.19478260216191393,0.23069696795929032,0.05067378530961786,0.03591436579737639,2.0,4.0,9.0,2.0,4.0,4.0,3.0,4.0,6.0,sec:heldout
TCERG1,1,0.32044094796175393,-0.03460707942404401,0.42458431265390856,0.5468036370120564,0.44629331731536975,0.021709004661461195,-0.10051031969668661,5.0,8.0,10.0,7.0,10.0,13.0,4.0,8.0,12.0,sec:heldout
RIPK2,1,-0.16023558946014702,0.056552218545862086,-0.040108889789549615,0.06807716006803237,-0.03746859255806261,0.002640297231487003,-0.10554575262609497,0.0,1.0,4.0,0.0,1.0,3.0,0.0,1.0,5.0,sec:heldout
DHX36,1,0.36282571587114915,0.22830684401392268,0.345888118058658,0.4422359488955561,0.4318929754160676,0.08600485735740959,-0.010342973479488538,3.0,4.0,4.0,6.0,7.0,7.0,4.0,8.0,12.0,sec:heldout
TMEM14A,1,-0.6086305773518486,0.16288467930204253,-0.23581952095938907,-0.46929554786680744,-0.0945579095632707,0.14126161139611837,0.37473763830353674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,sec:heldout
RBM42,1,0.017623324366006915,0.4344830342141308,0.36219301355725625,0.3814187689875783,0.49181632548717574,0.1296233119299195,0.11039755649959743,4.0,5.0,10.0,4.0,7.0,9.0,5.0,9.0,11.0,sec:heldout
MAFK,1,0.276012134213616,-0.0032800184347416806,0.22563990422994987,0.17768077814328068,0.207393875811006,-0.018246028418943877,0.029713097667725313,3.0,5.0,7.0,1.0,2.0,9.0,2.0,6.0,11.0,sec:heldout
TIPIN,1,0.18435843108957792,0.49525110558319324,0.5837826810029405,0.6288157948170595,0.5950861017160834,0.011303420713142942,-0.033729693100976066,8.0,11.0,14.0,8.0,13.0,15.0,8.0,11.0,19.0,sec:heldout
NFKBIA,1,-0.04761450961935073,-0.04136156389193333,0.1818208797734603,0.17874252947017055,0.11732723729549636,-0.06449364247796392,-0.06141529217467419,1.0,3.0,7.0,0.0,3.0,8.0,1.0,1.0,2.0,sec:heldout
CTU1,1,0.09435909276278835,0.17919560003930013,0.4603115744307635,0.4914360791949485,0.5346169208330439,0.07430534640228043,0.04318084163809538,5.0,11.0,14.0,6.0,9.0,12.0,7.0,11.0,19.0,sec:heldout
MORC2,1,-0.4862748344456708,-0.005939725589707608,-0.9523098896832943,-0.8688663267758754,-0.4836496651999489,0.46866022448334543,0.3852166615759265,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,sec:heldout
SS18L2,1,-0.09520995379274906,0.2866402626274586,0.5701781273938954,0.5185028877828289,0.5748539770923313,0.00467584969843593,0.05635108930950239,8.0,11.0,18.0,7.0,9.0,15.0,8.0,11.0,17.0,sec:heldout
POLR2C,1,0.4200644035722014,0.350236796684473,0.44916599854143735,0.4052874891043147,0.4474877727396223,-0.0016782258018150364,0.04220028363530759,4.0,6.0,7.0,5.0,6.0,7.0,4.0,6.0,7.0,sec:heldout
ADAL,1,-0.3593909415730197,0.019043858026399504,0.023671853746539823,-0.24310291639506368,0.031224439241541595,0.007552585495001773,0.27432735563660526,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,sec:heldout
GPS2,1,-0.581903131949753,0.12825285656768365,-0.08757013523333897,0.011702364798718815,0.0020265321221377883,0.08959666735547675,-0.009675832676581026,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,sec:heldout
LSM3,1,0.31641166899637735,0.2749074502912711,0.34891367066261875,0.2734231844774163,0.3867453075646019,0.03783163690198316,0.11332212308718559,6.0,8.0,9.0,3.0,9.0,10.0,7.0,9.0,13.0,sec:heldout
KAT7,1,-0.0625128142479676,0.0795563979706151,0.4398025924222235,0.430695700052428,0.484852044401117,0.045049451978893484,0.05415634434868899,5.0,7.0,12.0,4.0,6.0,12.0,6.0,9.0,13.0,sec:heldout
ARPC1B,1,0.1307210389874884,0.4195348214195888,0.5639028607238848,0.49571271930043403,0.5992433476169183,0.035340486893033485,0.1035306283164843,5.0,12.0,14.0,8.0,11.0,13.0,7.0,11.0,17.0,sec:heldout
DHPS,1,0.08286907963345537,-0.08442277733484956,0.15611761908117583,0.1115233389268786,0.11107527771621563,-0.0450423413649602,-0.0004480612106629728,0.0,1.0,5.0,2.0,3.0,4.0,0.0,2.0,4.0,sec:heldout
TRMT10C,1,0.1348421779653685,0.6041648675808945,0.6289083491792934,0.6862481537560922,0.6802625191742812,0.051354169994987764,-0.005985634581811006,8.0,13.0,19.0,7.0,15.0,21.0,8.0,13.0,26.0,sec:heldout
RPS21,1,0.20485216265136563,0.6475560653659266,0.6639105812124863,0.6111684186274934,0.7529186769072916,0.08900809569480539,0.14175025827979826,10.0,16.0,17.0,10.0,13.0,14.0,10.0,19.0,23.0,sec:heldout
MED29,1,0.29328708260410113,0.08363535332976457,0.28490568648758696,0.261396643262538,0.3075980513769934,0.022692364889406458,0.046201408114455444,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,sec:heldout
