figure,panel,series,regime,context,x,value,ci95_low,ci95_high,statistic,owning_section
2,d,VCDesign-CED minus Text-augmented ranker,K562 held-out,K562,10,-0.0891812865497076,-0.21783625730994152,0.038011695906432746,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
2,d,VCDesign-CED minus Text-augmented ranker,K562 held-out,K562,20,0.12280701754385964,-0.06725146198830409,0.3128654970760234,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
2,d,VCDesign-CED minus Text-augmented ranker,K562 held-out,K562,50,2.1973684210526314,1.827485380116959,2.573099415204678,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
3,a,full_measured minus size_controlled,paired arms,RPE1,,0.0007702290033226311,0.0003367392569573746,0.0013100237428421424,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,a,full_measured minus size_controlled,paired arms,HepG2,,8.429228699680102e-05,-0.00021468748927162828,0.00038533583549826833,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,a,full_measured minus size_controlled,paired arms,Jurkat,,-0.0003056550596967633,-0.0007577533113657942,7.120541791755253e-05,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,a,full_measured minus size_controlled,paired arms,pooled,,0.000165143590238781,-5.4364057162137325e-05,0.0004729521470251536,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,a,size_controlled minus response_unseen,paired arms,RPE1,,0.013751391788481948,0.009983156438663487,0.016886084046102163,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,a,size_controlled minus response_unseen,paired arms,HepG2,,-0.002871845474614776,-0.005949260584165656,0.0005710193170263556,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,a,size_controlled minus response_unseen,paired arms,Jurkat,,0.007732560933717436,0.005933248508745548,0.00972751496136609,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,a,size_controlled minus response_unseen,paired arms,pooled,,0.007806351384911786,0.006071726731641136,0.009570407752952204,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
3,b,VCDesign-CED minus Base,mixed,RPE1,0.0,0.06907157732474076,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,RPE1,0.25,0.0675239651419666,,,median paired BU@20 difference,sec:context
